"loc1","loc2","Common name"
"51.4129149144","-2.6016758312","Lime"
"51.4124817991","-2.60221538777","Maple"
"51.4121926455","-2.60154642771","Horse Chestnut"
"51.4856354817","-2.64893670883","Lime"
"51.4906888346","-2.60771965516","Lime"
"51.487982581","-2.51918822179","Whitebeam"
"51.4842529119","-2.61376184887","Lime"
"51.4990818848","-2.58851887186","Plum"
"51.4584079401","-2.58246724365","Cherry"
"51.4586254672","-2.58403528419","Plane"
"51.4812194579","-2.60463502333","Maple"
"51.4408565487","-2.6090967936","Plum"
"51.4823557588","-2.60150017545","Maple"
"51.4813846455","-2.60405715785","Maple"
"51.4311220912","-2.5674881394","Lime"
"51.4163544384","-2.57131561649","Plane"
"51.4292206075","-2.58119457539","Silver Birch"
"51.4662161","-2.53944116315","Field Maple"
"51.4667360267","-2.53227530054","Field Maple"
"51.4922801966","-2.51776311694","Cherry"
"51.4997617326","-2.6614248069","Apple"
"51.485665757","-2.6467611643","Lime"
"51.4660912887","-2.60415540939","Lime"
"51.5065479379","-2.62169274559","Sycamore"
"51.5090954216","-2.61286403854","Apple"
"51.4192446395","-2.60969149345","Lime"
"51.4700127861","-2.6051528129","Rowan"
"51.4324409719","-2.57521832912",""
"51.4987065664","-2.59002363192","Cherry"
"51.4159656093","-2.57102633312","Sycamore"
"51.4124448523","-2.60738695566","Sweetgum"
"51.4070066656","-2.56681794101","Maple"
"51.4059464287","-2.5845179805","Rowan"
"51.4324344506","-2.57431141331","Lime"
"51.4924046714","-2.51728747083","Cherry"
"51.420932462","-2.59281919747","Cherry"
"51.4632435286","-2.60900696807","Sycamore"
"51.460483385","-2.58168934456","Tulip Tree"
"51.4535240888","-2.59223645564","Plane"
"51.4724808247","-2.55859799334","Hazel"
"51.4735640159","-2.55701650886","Plane"
"51.4753066924","-2.54350989931","Plane"
"51.4802278479","-2.60908449772","Plane"
"51.4754328073","-2.61380655617","Plane"
"51.4576514759","-2.58479618323","Plane"
"51.4945752902","-2.60145593724",""
"51.501240879","-2.66046267817","Plane"
"51.4757004478","-2.61312693237","Plane"
"51.4760006651","-2.58650763412","Cherry"
"51.4299088598","-2.55789836667","Maple"
"51.4265594288","-2.5376726135","Elm"
"51.470698097","-2.57366953565","Hawthorn"
"51.4626860071","-2.57050528878","Plane"
"51.4421724509","-2.59577406331","Maple"
"51.4626306677","-2.57067992399","Plane"
"51.4808313827","-2.63057620847","Amelanchier"
"51.478388749","-2.59964054183","Plum"
"51.5091538773","-2.61170833873","Maple"
"51.4619143621","-2.57962842836","Oak"
"51.4873888092","-2.58842427965","Plane"
"51.4701649304","-2.60508197811","Gingko"
"51.489057866","-2.67718853892","Plane"
"51.4805594089","-2.62996995081","Amelanchier"
"51.4117697042","-2.60599018427","Cherry"
"51.4287103483","-2.57105954136","Lime"
"51.4420753665","-2.62405117935","Maple"
"51.4554020895","-2.58545235586","Plane"
"51.4424550998","-2.63828934425","Pear"
"51.4936061754","-2.60703896757","Ash"
"51.4115922879","-2.59474440429","Maple"
"51.4274558832","-2.6181981977","Cherry"
"51.497490644","-2.66119989448","Silver Birch"
"51.4257574588","-2.62001600433","Horse Chestnut"
"51.4257910488","-2.61888379826","Horse Chestnut"
"51.4264027582","-2.61821864438","Silver Birch"
"51.4115614975","-2.58557698422","Oak"
"51.4547142564","-2.59251437468","Plane"
"51.4899394857","-2.5362306273","Alder"
"51.4550160391","-2.61459730904",""
"51.4310385741","-2.62960655509","Ash"
"51.4738285218","-2.55263408264","Maple"
"51.4512706899","-2.63814493404","Lime"
"51.4446668098","-2.62138614646","Lime"
"51.4386365782","-2.63702154253","Lime"
"51.5033682233","-2.6454098768","Lime"
"51.4450915913","-2.64539057448","Lime"
"51.4569470247","-2.5483883324","Cypress"
"51.4569002382","-2.56331505167","Willow"
"51.5052943881","-2.61551279604","Dawn Redwood"
"51.4610935578","-2.52930966132",""
"51.4112146325","-2.59472742427","Maple"
"51.4967138876","-2.58439783625","Cherry"
"51.4675905868","-2.57663991021","Cedar"
"51.4673339578","-2.57622106056","Cherry"
"51.4296171047","-2.53871641674","Oak"
"51.4970728307","-2.66165741392","Apple"
"51.4837991352","-2.63243257802","Cherry"
"51.4389705433","-2.54653078505","Maple"
"51.4269085973","-2.61902547496","Silver Birch"
"51.4695221383","-2.5223478175","Aspen"
"51.4560859015","-2.58762674621","Maple"
"51.4377616256","-2.54240678623","Cypress"
"51.4090828694","-2.54825985009","Walnut"
"51.4482481058","-2.59487277328","Alder"
"51.4551976668","-2.61476943359","Yew"
"51.4190302871","-2.60142568326","Alder"
